customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
21NZLIH8B3,Male,1,No,No,16,Yes,Yes,No,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.72,1275.52,No
EJHWC6RMNY,Female,1,Yes,No,71,No,No phone service,DSL,Yes,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,22.77,1616.67,No
D6QPR7G8CE,Male,1,No,Yes,63,No,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),52.2,3288.6,No
JFJIVRC0KK,Male,0,Yes,No,49,No,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Mailed check,41.74,2045.26,No
N5M96NK1H0,Female,1,No,No,72,No,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Credit card (automatic),21.02,1513.44,No
72BBBDU0CH,Female,0,Yes,Yes,30,No,Yes,No,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,86.32,2589.6,Yes
MTL8ULLK0R,Female,1,Yes,Yes,4,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),97.39,389.56,No
V4RWTSI86L,Male,0,No,No,46,Yes,No phone service,DSL,Yes,No,No,No,No,No internet service,One year,Yes,Mailed check,18.81,865.26,No
CI7VVJPQF7,Female,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),87.14,609.98,No
IIG5YPPACM,Female,1,Yes,No,59,No,Yes,No,Yes,No internet service,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),70.57,4163.63,Yes
47U6IA73DZ,Male,0,No,Yes,2,No,No,No,No internet service,No,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),61.68,123.36,Yes
KJDG87RQT7,Male,0,Yes,Yes,31,No,No,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,No,Electronic check,91.8,2845.8,No
32Q72ODLD4,Male,0,No,Yes,37,No,No,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.83,3804.71,No
C5UG18ZSQ4,Male,1,No,Yes,39,No,No,No,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Mailed check,27.08,1056.12,Yes
RF32C8XTF3,Male,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,36.92,2362.88,Yes
P0L656G2VV,Female,1,No,No,38,No,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,No internet service,One year,No,Mailed check,105.32,4002.16,Yes
BW3Q803C18,Male,0,Yes,No,61,No,No,DSL,No,Yes,Yes,Yes,No internet service,No,One year,No,Electronic check,60.33,3680.13,No
MOW8P65MXX,Male,0,No,No,21,Yes,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),70.17,1473.57,No
UL82UVKVDA,Female,1,Yes,Yes,27,Yes,No,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Credit card (automatic),81.6,2203.2,No
Q2Z9KJGU8G,Female,0,Yes,No,45,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Two year,Yes,Electronic check,78.67,3540.15,Yes
NBPH0RQ8D2,Male,1,No,No,69,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Electronic check,111.42,7687.98,No
UXSEJU39C3,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),54.9,2360.7,No
STG8KAFG1P,Male,0,No,Yes,38,No,Yes,No,No,No,No internet service,Yes,No,No internet service,Two year,No,Electronic check,111.73,4245.74,Yes
3P0S2QB1A6,Male,1,No,No,67,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,48.83,3271.61,No
ZB2SI4IMIO,Male,1,Yes,Yes,32,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No,No,One year,Yes,Electronic check,73.51,2352.32,No
OKXDZWDNZS,Male,1,No,No,25,No,Yes,DSL,Yes,No,Yes,No internet service,Yes,No,One year,No,Mailed check,20.75,518.75,No
MF7Z1RUK9V,Female,0,No,No,21,No,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,82.51,1732.71,No
1B3II067LO,Female,1,Yes,Yes,25,No,Yes,No,No internet service,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),80.29,2007.25,Yes
2UCSZUC24G,Female,1,Yes,Yes,5,No,No,No,No,No internet service,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),60.58,302.9,Yes
JMCHUHYY2O,Female,1,No,No,40,No,No phone service,DSL,Yes,No internet service,No,No internet service,No,No internet service,Two year,No,Electronic check,106.58,4263.2,Yes
I0PV1P7FXQ,Female,1,Yes,Yes,17,No,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No,One year,Yes,Credit card (automatic),35.01,595.17,No
SSOZJ57BZU,Male,1,Yes,Yes,18,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,85.87,1545.66,No
AMARBYRBF5,Female,1,Yes,Yes,68,Yes,Yes,No,No,No,No,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),55.34,3763.12,No
4V33C6IWOC,Female,1,Yes,Yes,72,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,One year,No,Mailed check,111.04,7994.88,No
26HF0TSWGT,Female,0,Yes,No,16,Yes,No phone service,Fiber optic,No,No internet service,No,No,Yes,No,Two year,Yes,Electronic check,18.42,294.72,Yes
YVXB0WE7XI,Male,0,No,Yes,24,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),60.63,1455.12,Yes
HYRWFR241X,Male,0,Yes,Yes,23,No,Yes,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.3,2168.9,Yes
Y7WOMRB2O5,Male,1,No,Yes,58,No,No phone service,No,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,26.44,1533.52,Yes
97GHVS9AQ5,Female,1,Yes,No,67,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,60.97,4084.99,No
W1JPYTF91V,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,Yes,Credit card (automatic),110.68,5755.36,No
XS01UX9GJH,Male,1,Yes,Yes,29,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,No,Mailed check,36.58,1060.82,Yes
XH8DLJMCBS,Male,0,No,No,19,Yes,Yes,No,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,70.73,1343.87,No
9OXYF1U38L,Female,1,Yes,Yes,66,Yes,No,No,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.41,4317.06,No
UNZ54CTC1C,Male,1,Yes,Yes,28,No,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),114.69,3211.32,No
CR5CICUYY8,Male,1,No,Yes,37,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),56.95,2107.15,Yes
26S8ZS99GD,Male,1,No,No,42,Yes,No phone service,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),35.51,1491.42,No
XIJ9R6JK4S,Female,0,No,Yes,45,Yes,No phone service,DSL,No internet service,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,70.49,3172.05,No
YFP1904EJ5,Male,1,Yes,Yes,17,No,No phone service,DSL,No internet service,No,No,No internet service,Yes,No internet service,Two year,No,Bank transfer (automatic),19.85,337.45,No
BEOE14612X,Male,0,Yes,Yes,32,No,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,79.19,2534.08,No
VIBTGBH1T2,Female,1,Yes,No,12,No,No phone service,No,No,Yes,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),66.01,792.12,No
R5A2IGW8FM,Male,0,Yes,No,47,No,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,42.3,1988.1,Yes
W6QA12D385,Female,0,Yes,No,29,No,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Two year,No,Electronic check,113.35,3287.15,Yes
SEDGKTLWJB,Male,0,No,No,55,No,Yes,No,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,28.37,1560.35,No
6ZR48SAEKG,Female,1,No,Yes,22,No,No,No,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,109.38,2406.36,No
QB61SIQMIH,Female,0,No,Yes,46,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),118.68,5459.28,Yes
J9M4ADM629,Female,0,Yes,Yes,38,Yes,No,No,No,No,Yes,No internet service,Yes,No internet service,One year,No,Electronic check,93.9,3568.2,No
B1HFJW14XB,Female,0,Yes,No,2,No,Yes,No,No,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,46.72,93.44,Yes
HQUR6PXCLM,Male,0,Yes,Yes,19,No,No,Fiber optic,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),49.73,944.87,Yes
A7JEL3AL71,Female,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),46.39,1994.77,Yes
4F31WCROVH,Male,0,No,No,8,No,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),21.89,175.12,No
LRDW7FE184,Female,1,Yes,No,64,No,No phone service,DSL,Yes,No internet service,No internet service,No,No internet service,No,Two year,Yes,Bank transfer (automatic),49.06,3139.84,No
L4DYMXAE1O,Male,1,Yes,No,44,No,No,No,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,24.77,1089.88,Yes
WZBT8NP4UN,Male,1,Yes,Yes,51,No,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Two year,Yes,Mailed check,109.37,5577.87,No
M7FB4PBZJO,Male,0,Yes,Yes,33,No,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,88.61,2924.13,No
PZWFQXCMT9,Female,0,No,No,51,Yes,No,DSL,Yes,No,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),91.52,4667.52,No
04EJBUNJR7,Male,0,Yes,No,37,No,Yes,No,No internet service,No,No,No internet service,No,No internet service,One year,Yes,Mailed check,86.47,3199.39,No
22M9JJRXCJ,Female,1,Yes,Yes,9,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Mailed check,83.38,750.42,No
P9416OKCAY,Female,0,Yes,No,10,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,Month-to-month,No,Mailed check,51.52,515.2,Yes
BQ0G5HVEY0,Male,1,Yes,No,33,Yes,No phone service,No,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,63.24,2086.92,No
BK0IU64FUI,Female,0,No,Yes,60,Yes,No,No,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Credit card (automatic),110.18,6610.8,Yes
MJB9J58439,Female,1,Yes,Yes,44,No,No,No,No,Yes,No internet service,No,No internet service,No,One year,No,Mailed check,66.9,2943.6,No
JJ0XMV7HRB,Female,1,No,Yes,21,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.05,1240.05,No
PW5P56EF4Q,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,No internet service,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,58.58,4217.76,Yes
EDMD1DB49M,Female,1,No,No,57,No,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),51.19,2917.83,Yes
M1QAOOQRAR,Female,0,Yes,Yes,24,No,Yes,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,103.25,2478.0,No
VELV8I0U1H,Male,1,Yes,Yes,3,No,Yes,DSL,No,No,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),48.91,146.73,No
MFQXLEJRGY,Female,0,No,Yes,34,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,No,Mailed check,98.4,3345.6,No
S6MAPHHHJ7,Male,1,Yes,No,24,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),60.45,1450.8,Yes
1KQHSS1XQ1,Male,0,Yes,No,64,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,52.38,3352.32,Yes
M2ZXD1BMI3,Male,0,No,No,20,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,22.28,445.6,Yes
86X9WQXCKT,Male,1,Yes,Yes,25,No,Yes,No,Yes,No internet service,No internet service,No,Yes,Yes,Two year,No,Electronic check,81.33,2033.25,Yes
6BR9MA1XSZ,Female,0,Yes,Yes,47,Yes,No,No,No,No,No internet service,Yes,No internet service,No,Two year,Yes,Electronic check,54.33,2553.51,No
5JJB0E1FEL,Female,0,No,No,18,No,No phone service,No,Yes,No internet service,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),25.68,462.24,Yes
FFNSX7MMFO,Male,1,Yes,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,One year,No,Credit card (automatic),104.47,2507.28,No
3NZQCXXX7Q,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),98.95,5541.2,No
HD0R2HGZ8N,Male,1,No,No,62,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,91.14,5650.68,Yes
ABFU1H2ZCM,Male,1,No,No,9,Yes,No,DSL,No internet service,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,98.99,890.91,Yes
8MALLUHRWD,Female,1,Yes,No,21,No,No phone service,No,No,No,Yes,No internet service,No,No,One year,No,Credit card (automatic),74.27,1559.67,Yes
58GDBV86YA,Female,0,No,No,20,Yes,No phone service,No,No,Yes,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),46.91,938.2,Yes
YIRIPII7MZ,Male,1,Yes,Yes,60,Yes,No,No,Yes,No,No internet service,Yes,Yes,No,One year,Yes,Mailed check,102.65,6159.0,Yes
1K1758QIQ3,Male,0,Yes,Yes,42,No,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),118.37,4971.54,No
OPYVYEULAD,Female,1,Yes,Yes,16,No,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,One year,Yes,Mailed check,30.66,490.56,No
RTPURPCUWB,Female,1,No,Yes,5,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),60.77,303.85,No
P1Y5841B4K,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),98.84,5633.88,Yes
20TK6WXYHH,Female,0,Yes,No,56,Yes,No phone service,No,No,No internet service,No,Yes,No,Yes,Two year,Yes,Electronic check,113.72,6368.32,Yes
ERFM6T4J21,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,69.17,4426.88,No
IU68BEMKDD,Female,1,Yes,Yes,26,No,No,No,No internet service,Yes,No internet service,No internet service,Yes,No,Two year,Yes,Mailed check,59.43,1545.18,Yes
Y4AL47BLS4,Male,0,Yes,No,47,Yes,No,No,No internet service,No internet service,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),35.59,1672.73,Yes
EU46WI7HQC,Female,0,Yes,Yes,64,Yes,No,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.77,4785.28,No
7C0Z721Z61,Male,0,Yes,Yes,68,Yes,Yes,No,Yes,No internet service,No,Yes,No,Yes,One year,Yes,Electronic check,87.86,5974.48,Yes
XE0824NMQ8,Male,0,No,No,53,No,No,No,No,No internet service,No,Yes,No,No internet service,Two year,No,Electronic check,64.1,3397.3,No
YF2SKPTXY6,Female,1,No,No,55,Yes,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),113.95,6267.25,No
3C7YPWI9UZ,Male,0,No,No,69,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),47.49,3276.81,No
XIXOCT229H,Female,1,Yes,Yes,5,No,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),103.36,516.8,No
ZRO5FQUK9B,Male,1,Yes,No,43,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,62.75,2698.25,Yes
9ZNNQK9G4E,Male,0,Yes,No,11,No,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),40.11,441.21,Yes
8YNH3VJDZI,Female,0,No,No,34,No,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,No,Electronic check,31.17,1059.78,Yes
62PU27CNRY,Male,0,No,Yes,40,No,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),44.59,1783.6,Yes
P1XK3UE5WF,Male,1,Yes,Yes,18,Yes,No phone service,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,44.03,792.54,No
6HGKXGCA5F,Male,1,No,No,21,No,Yes,No,No internet service,Yes,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),118.38,2485.98,Yes
